id,name,file_introduced_path,introduced_version_commit_hash,introduced_version_author,introduced_version_date,comment_location,func_specifier,func_return_type,func_name,func_parameter_list,func_line,has_removed_version,removed_version_commit_hash,removed_version_author,removed_version_date,last_found_path,last_found_commit_hash,last_found_author,last_found_date,last_found_comment_location,last_found_func_specifier,last_found_func_return_type,last_found_func_name,last_found_func_parameter_list,last_found_func_line,td_classification,start_line,end_line,comment_text
52420,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,a6c6685f620a5c1aa7bdd2597095c970b6df56d9,Conor MacNeill ,2001-05-10 15:23:00,FUNCTION,static public,void,initializeClass,Class theClass ,167,t,3fe197c6e72549b8a58b4fe78d46b98ea30ab3f5,Magesh Umasankar ,2002-01-18 15:26:50,src/main/org/apache/tools/ant/AntClassLoader.java,3fddc0bcfddb3f6226843481094795c89862bf5f,Stefan Bodewig ,2002-01-10 11:21:21,FUNCTION,public static,void,initializeClass,Class theClass ,432,DESIGN,168,170,// ***HACK*** We try to create an instance to force the VM to run the // class' static initializer. We don't care if the instance can't  // be created - we are just interested in the side effect.
53943,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,1ef4d3ea869c19a408aae99300a1c04b485917b1,Stefan Bodewig ,2002-02-14 15:22:44,"","","","","",0,t,598017b1cdec8da5d9ac7002f6625561aca80ac7,Conor MacNeill ,2002-03-11 09:40:21,src/main/org/apache/tools/ant/AntClassLoader.java,50d4e58dfdadf26bd3b1749c5aefe41b457fc2bd,Stefan Bodewig ,2002-03-08 11:16:14,"","","","","",0,DESIGN,185,185,// XXX: Any reason this shouldn't be private?
55479,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,6bd8d6e938a45868902ecd1092858e8372933c7c,Magesh Umasankar ,2002-06-22 23:38:38,"","","","","",0,t,ea4bf0e8e7c2c017d15413a77656ad77ecb96537,Steve Loughran ,2002-08-22 18:24:14,src/main/org/apache/tools/ant/AntClassLoader.java,cef3b4c3429c87a5b97f9a5b5f09d7211153d1e8,Costin Manolache ,2002-08-22 17:21:57,"","","","","",0,DESIGN,322,323,//TODO: turn on //addJavaLibraries();        
60363,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,67c71a89e9e02b6e4841f748c79350b7ca190a00,Jesse N. Glick ,2005-03-29 19:56:15,FUNCTION,protected,Class,defineClassFromData,"File container, byte [] classData, String classname ",1074,t,c8e91147e37e34c4024c33ecf454e7c46639baa2,Stefan Bodewig ,2009-07-22 13:17:16,src/main/org/apache/tools/ant/AntClassLoader.java,26f846b838b5fe50fa23fc233438c583c7c8ab4d,Stefan Bodewig ,2009-07-22 09:51:16,FUNCTION,protected,Class,defineClassFromData,"File container, byte [] classData, String classname ",1116,DESIGN,1077,1079,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had
61605,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,56e61f039f54d015e60e3e2ecaaeaa8e666d8cef,Peter Reilly ,2006-09-03 16:45:00,FUNCTION,private,void,setParent,ClassLoader parent ,390,t,f1415bcf0486c18252c3ddf68a867590e9ca7d35,Peter Reilly ,2006-09-05 12:44:49,src/main/org/apache/tools/ant/AntClassLoader.java,0f55b6b9d6a98accff8e0352474df465207806f7,Peter Reilly ,2006-09-04 22:39:06,FUNCTION,public,void,setParent,ClassLoader parent ,391,DESIGN,396,402,"// ClassLoader.parent is private and there is // no accessor to set it, there is an accessor // to get it, but it is final. // This method setParent sets the parent of // this classloader, and that is the way that the // class behaves - so use a bit of reflection // to set the field."
66312,AntClassLoader.java,src/main/org/apache/tools/ant/AntClassLoader.java,13000c1a4670271a3257b3c41dc1e17941067c78,Jesse N. Glick ,2013-07-17 22:46:10,FUNCTION,private,boolean,isParentFirst,String resourceName ,821,f,,,,src/main/org/apache/tools/ant/AntClassLoader.java,df33426bf23dd97171dc3e0e7cb85de87d421bce,Stefan Bodewig ,2014-07-12 18:06:55,FUNCTION,private,boolean,isParentFirst,final String resourceName ,828,DESIGN,827,827,// TODO - shouldn't this always return false in isolated mode?
69146,ComponentHelper.java,src/main/org/apache/tools/ant/ComponentHelper.java,2ba55667967546b923a7f23fe3f0255e5dc9efdb,Costin Manolache ,2003-01-04 16:36:42,FUNCTION,public,Object,createComponent,"String ns, String taskName ",137,t,2a0b07ef1df0ddcb78c56d8d1a972f90740117d1,Costin Manolache ,2003-05-05 02:17:28,src/main/org/apache/tools/ant/ComponentHelper.java,695a96add42d2fe78ce7fff5a0d7c1fb887a26ed,Costin Manolache ,2003-05-03 06:27:00,FUNCTION,public,Object,createComponent,"String ns, String taskName ",137,DESIGN,145,146,"// XXX class loader ? Can use the ns, but additional hints may be available in taskdef //"
69150,ComponentHelper.java,src/main/org/apache/tools/ant/ComponentHelper.java,2ba55667967546b923a7f23fe3f0255e5dc9efdb,Costin Manolache ,2003-01-04 16:36:42,FUNCTION,public,Object,createComponent,"UnknownElement ue, String ns, String taskName ",149,t,8701272b2418d74536d09b289f118d1833d42217,Peter Reilly ,2003-06-26 08:54:29,src/main/org/apache/tools/ant/ComponentHelper.java,f97fcdb35ec37a4a93fc3e7a38ae7e8675e77092,Conor MacNeill ,2003-06-10 14:05:58,FUNCTION,public,Object,createComponent,"UnknownElement ue, String ns, String taskName ",137,DESIGN,159,160,// This policy is taken from 1.5 ProjectHelper. In future the difference between // task and type should disapear.
69734,ComponentHelper.java,src/main/org/apache/tools/ant/ComponentHelper.java,8701272b2418d74536d09b289f118d1833d42217,Peter Reilly ,2003-06-26 08:54:29,FUNCTION,public,String,getElementName,Object element ,494,f,,,,src/main/org/apache/tools/ant/ComponentHelper.java,326b38f70193a95c9ef8371a727747fe0a5fecb5,Stefan Bodewig ,2014-01-02 14:37:32,FUNCTION,public,String,getElementName,"Object o, boolean brief ",611,DESIGN,495,497,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...
76243,DemuxOutputStream.java,src/main/org/apache/tools/ant/taskdefs/LogOutputStream.java,3e3008a15b43ba87249ec8342bd5c944185ca026,Stefan Bodewig ,2000-07-19 13:00:46,"","","","","",0,t,059ad359164e376960bc91ee4bce1e47abb3ef45,Conor MacNeill ,2001-07-22 13:12:29,src/main/org/apache/tools/ant/taskdefs/LogOutputStream.java,6c287080d460efa63e022407e88a04558b9fdbb6,Conor MacNeill ,2001-01-03 14:18:52,"","","","","",0,DESIGN,65,73,"/**
 * Logs each line written to this stream to the log system of ant.
 *
 * Tries to be smart about line separators.<br>
 * TODO: This class can be split to implement other line based processing
 * of data written to the stream.
 *
 * @author thomas.haas@softwired-inc.com
 */"
