id,name,file_introduced_path,introduced_version_commit_hash,introduced_version_author,introduced_version_date,comment_location,func_specifier,func_return_type,func_name,func_parameter_list,func_line,has_removed_version,removed_version_commit_hash,removed_version_author,removed_version_date,last_found_path,last_found_commit_hash,last_found_author,last_found_date,last_found_comment_location,last_found_func_specifier,last_found_func_return_type,last_found_func_name,last_found_func_parameter_list,last_found_func_line,td_classification,start_line,end_line,comment_text
2977626,CamelContext.java,camel/camel-core/src/main/java/org/apache/camel/impl/DefaultEndpointResolver.java,77b260b65ba821b3443d922320cc3d9b708c8d83,James Strachan ,2007-03-19 10:54:57,FUNCTION,public,E,resolve,String uri ,38,t,b3acc118e1ba296d10053250dc055338e46854dd,James Strachan ,2007-03-19 15:35:28,camel-core/src/main/java/org/apache/camel/impl/DefaultEndpointResolver.java,9c15e67cde9c4d17f2dfba9c9a3fc3a3dbb9d401,James Strachan ,2007-03-19 11:00:33,FUNCTION,public,E,resolve,String uri ,38,DESIGN,39,39,// TODO we may want to cache them?
2977673,CamelContext.java,camel-core/src/main/java/org/apache/camel/CamelContainer.java,9bca570e177686e4eb8fddf05004ee0e3f153dff,James Strachan ,2007-03-20 01:15:57,FUNCTION,public,void,addComponent,"String componentName, final Component < E ? extends  Endpoint < E component ",67,t,a8a1f3cd00b56d835c22a6a52d30db96d68a30ae,Hiram R. Chirino ,2007-03-20 19:31:47,camel-core/src/main/java/org/apache/camel/CamelContext.java,4d7fc48fbd20190f7d83f86f66f706ae0b4a9aea,James Strachan ,2007-03-20 18:47:34,FUNCTION,public,void,addComponent,"String componentName, final Component < E component ",113,DESIGN,68,68,// TODO provide a version of this which barfs if the component is registered multiple times
2999758,Channel.java,camel-core/src/main/java/org/apache/camel/Channel.java,407ffa6b674f8b884887ebb44bbe7ffe47ac63a8,Claus Ibsen ,2009-04-24 06:54:55,"","","","","",0,t,c6b36cbc18caa93439db2858b12afdc808531e6c,Claus Ibsen ,2009-04-28 08:50:46,camel-core/src/main/java/org/apache/camel/Channel.java,407ffa6b674f8b884887ebb44bbe7ffe47ac63a8,Claus Ibsen ,2009-04-24 06:54:55,"","","","","",0,DESIGN,34,37,// TODO: This interface method names are not 100% settled yet // some methods should many be moved to DefaultChannel only as they are more used for testing purpose // and we should add methods to traverse the channels // and maybe a channel registry
3008266,InvalidPayloadException.java,camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,e7f5b11091ae66da757438f6451c835ca0fac0ee,Claus Ibsen ,2012-04-15 15:07:08,"","","","","",0,t,e138484d1f5ad535194141926843b6998f251174,Claus Ibsen ,2013-08-30 16:01:48,camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,e7f5b11091ae66da757438f6451c835ca0fac0ee,Claus Ibsen ,2012-04-15 15:07:08,"","","","","",0,DESIGN,28,28,"// TODO: We should remove this class in Camel 3.0, and just rely on the other exceptions for type conversion issues"
3008270,InvalidPayloadException.java,camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,e138484d1f5ad535194141926843b6998f251174,Claus Ibsen ,2013-08-30 16:01:48,"","","","","",0,t,a9db3f7ac38767a4b2da99f6fd2fa985c373d77d,Claus Ibsen ,2013-08-31 11:27:14,camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,e138484d1f5ad535194141926843b6998f251174,Claus Ibsen ,2013-08-30 16:01:48,"","","","","",0,DESIGN,28,29,"// TODO: We should have NoSuchBodyException to be consistent with NoSuchHeaderException // TODO: We should remove this class in Camel 3.0, and just rely on the other exceptions for type conversion issues"
3013095,ProxyInstantiationException.java,camel-core/src/main/java/org/apache/camel/impl/ProxyInstantiationException.java,6989ff8bf8961aff791d0715d083a654ed010a97,Claus Ibsen ,2010-08-02 06:49:10,"","","","","",0,t,14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb,Claus Ibsen ,2011-06-29 14:09:40,camel-core/src/main/java/org/apache/camel/impl/ProxyInstantiationException.java,2c295f02f7868cca60ed98a55b490083d2695a2a,Claus Ibsen ,2011-02-17 18:09:53,"","","","","",0,DESIGN,30,30,// TODO: Move to org.apache.camel package
3015832,PerformanceCounter.java,camel-core/src/main/java/org/apache/camel/spi/BrowsableEndpoint.java,3b04657727456303fe4949232dd0da0307698f0e,James Strachan ,2008-03-07 12:50:39,"","","","","",0,t,9ceee6b2d5f63bb7c1a3bfa4dfd379acd4956e75,James Strachan ,2008-03-07 13:31:57,camel-core/src/main/java/org/apache/camel/spi/BrowsableEndpoint.java,3b04657727456303fe4949232dd0da0307698f0e,James Strachan ,2008-03-07 12:50:39,"","","","","",0,DESIGN,39,40,// TODO when we remove the generics on Endpoint we can zap the next bit // and make this interface extend Endpoint
3027140,DefaultErrorHandlerBuilder.java,camel-core/src/main/java/org/apache/camel/builder/DefaultErrorHandlerBuilder.java,827f552680eacf78e94cf0f33bdcd7799ab856b2,Claus Ibsen ,2009-04-02 13:28:50,FUNCTION,public,Processor,createErrorHandler,"RouteContext routeContext, Processor processor ",32,t,88ca359343c3a96786d435985f46841eeffcfb6e,Claus Ibsen ,2009-04-03 13:05:11,camel-core/src/main/java/org/apache/camel/builder/DefaultErrorHandlerBuilder.java,827f552680eacf78e94cf0f33bdcd7799ab856b2,Claus Ibsen ,2009-04-02 13:28:50,FUNCTION,public,Processor,createErrorHandler,"RouteContext routeContext, Processor processor ",32,DESIGN,30,30,// TODO: in the future support onException
3038047,ExpressionClause.java,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,public,T,language,"String languageName, String text ",132,t,0595da505914be63fbe3299cbe9b328a2e641ad2,James Strachan ,2007-10-15 10:47:23,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,public,T,language,"String languageName, String text ",132,DESIGN,135,135,// TODO set the exception!
3038048,ExpressionClause.java,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,protected,Expression,createExpression,"String languageName, String text ",139,t,0595da505914be63fbe3299cbe9b328a2e641ad2,James Strachan ,2007-10-15 10:47:23,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,protected,Expression,createExpression,"String languageName, String text ",139,DESIGN,140,140,// TODO can we share this code with other places we assert mandatory language names?
3041234,ExpressionClauseSupport.java,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,public,T,language,"String languageName, String text ",132,t,0595da505914be63fbe3299cbe9b328a2e641ad2,James Strachan ,2007-10-15 10:47:23,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,public,T,language,"String languageName, String text ",132,DESIGN,135,135,// TODO set the exception!
3041235,ExpressionClauseSupport.java,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,protected,Expression,createExpression,"String languageName, String text ",139,t,0595da505914be63fbe3299cbe9b328a2e641ad2,James Strachan ,2007-10-15 10:47:23,camel-core/src/main/java/org/apache/camel/builder/ExpressionClause.java,443a8858b0e79d8b35f1fbd688440d5fa49ec96b,James Strachan ,2007-09-12 04:40:16,FUNCTION,protected,Expression,createExpression,"String languageName, String text ",139,DESIGN,140,140,// TODO can we share this code with other places we assert mandatory language names?
3042626,ExpressionClauseSupport.java,camel-core/src/main/java/org/apache/camel/builder/ExpressionClauseSupport.java,3d8bf96c36c477ed87632e6d34de13120ae22c73,Claus Ibsen ,2011-05-18 09:41:31,"","","","","",0,t,14d6b4f75d2365fc33d573e96ef0e7c9ff550ddb,Claus Ibsen ,2011-06-29 14:09:40,camel-core/src/main/java/org/apache/camel/builder/ExpressionClauseSupport.java,05db641c52c5e567e6904c15f246a53fd2e7458a,Claus Ibsen ,2011-06-29 10:53:48,"","","","","",0,DESIGN,593,593,// TODO: Add support for TokenizerExpression
3044646,NotifyBuilder.java,camel-core/src/main/java/org/apache/camel/builder/ExchangeNotifierBuilder.java,552c1e0303f299e7174ae50acc612973a4364939,Claus Ibsen ,2010-01-13 17:19:06,"","","","","",0,t,8914af60735c4037b5bf4b2c31b5070de392094e,Claus Ibsen ,2010-01-14 09:02:04,camel-core/src/main/java/org/apache/camel/builder/ExchangeNotifierBuilder.java,552c1e0303f299e7174ae50acc612973a4364939,Claus Ibsen ,2010-01-13 17:19:06,"","","","","",0,DESIGN,43,43,// TODO work in progress
3049345,RouteBuilder.java,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,745773842c7feed74c8773de9002332095cfcbb2,Claus Ibsen ,2009-08-24 04:44:18,FUNCTION,public,void,includeRoutes,RoutesBuilder routes ,248,f,,,,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,61aa28c976d024eb5a4c3f760145a8a4565dc5d5,Claus Ibsen ,2015-12-16 09:28:13,FUNCTION,public,void,includeRoutes,RoutesBuilder routes ,369,DESIGN,249,250,// TODO: We should support including multiple routes so I think invoking configure() // needs to be deferred to later
3053890,XPathBuilder.java,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,e0a4327ca402a6f7d9bd2c06f1f2d9d963c8f7b0,Claus Ibsen ,2011-03-29 09:34:10,FUNCTION,public,boolean,allowHandover,"",834,t,540ce5414939a8f2b5853d9547a363beb2f97554,Claus Ibsen ,2012-08-13 16:06:44,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,e7f5b11091ae66da757438f6451c835ca0fac0ee,Claus Ibsen ,2012-04-15 15:07:08,FUNCTION,public,boolean,allowHandover,"",1072,DESIGN,835,836,"// this completion should not be handed over, as we want to execute it // on current thread as the thread locals is bound the current thread"
3054351,XPathBuilder.java,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,4a2ab56e660a828e1d543c6d270258f72cc95e8e,Claus Ibsen ,2012-01-04 08:14:54,FUNCTION,public,XPathBuilder,objectModel,String uri ,286,t,de076b4fb554a1bf0fdc46e0682ece80025a722e,Claus Ibsen ,2012-12-01 14:50:37,camel-core/src/main/java/org/apache/camel/builder/xml/XPathBuilder.java,83bb0bc9dfa645a97965755632bc6e10b82a458b,Claus Ibsen ,2012-11-30 09:53:29,FUNCTION,public,XPathBuilder,objectModel,String uri ,308,DESIGN,287,289,"// TODO: Careful! Setting the Object Model URI this way will set the *Default* XPath Factory, which since is a static field, // will set the XPath Factory system-wide. Decide what to do, as changing this behaviour can break compatibility. Provided the setObjectModel which changes // this instance's XPath Factory rather than the static field"
3058200,AbstractCamelInvocationHandler.java,camel-core/src/main/java/org/apache/camel/component/bean/CamelInvocationHandler.java,f9958cac99d31ebf47040a110f9b1b6ebcd0c7da,Claus Ibsen ,2009-10-22 12:28:12,FUNCTION,public,Object,invoke,"Object proxy, Method method, Object [] args ",47,t,a6584f9378f4cef362938c5d7f96c4e1b6ee1c2b,Claus Ibsen ,2009-10-22 13:10:46,camel-core/src/main/java/org/apache/camel/component/bean/CamelInvocationHandler.java,f9958cac99d31ebf47040a110f9b1b6ebcd0c7da,Claus Ibsen ,2009-10-22 12:28:12,FUNCTION,public,Object,invoke,"Object proxy, Method method, Object [] args ",47,DESIGN,70,70,// TODO: type convert to method signature
3058307,AbstractCamelInvocationHandler.java,camel-core/src/main/java/org/apache/camel/component/bean/CamelInvocationHandler.java,406827f30537125dcff9e93215aa8675a89526de,Claus Ibsen ,2011-03-31 09:54:38,FUNCTION,protected static,Class,getGenericType,"CamelContext context, Type type ",174,f,,,,camel-core/src/main/java/org/apache/camel/component/bean/AbstractCamelInvocationHandler.java,988e50a0f30014e5bfca31444fb2896591d66908,Claus Ibsen ,2015-08-11 09:58:08,FUNCTION,protected static,?,getGenericType,"CamelContext context, Type type ",243,DESIGN,180,181,"// unfortunately java dont provide a nice api for getting the generic type of the return type // due type erasure, so we have to gather it based on a String representation"
3058917,BeanComponent.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanComponent.java,64df0ace5961f88cf7e6649a161f9c02f2b54bb7,James Strachan ,2007-08-02 10:57:37,FUNCTION,protected,MethodInvocationStrategy,createInvocationStrategy,"",70,t,b83e74dce7b9f19fcae42f3ce17e6e009769d5f9,James Strachan ,2007-08-03 19:33:56,camel-core/src/main/java/org/apache/camel/component/bean/BeanComponent.java,d624cfe817a7ba5cb9da779e5797553e82cace27,James Strachan ,2007-08-02 16:18:30,FUNCTION,protected,MethodInvocationStrategy,createInvocationStrategy,"",75,DESIGN,72,72,// TODO add this to the context?
3059673,BeanInfo.java,camel-spring/src/main/java/org/apache/camel/spring/util/BeanInfo.java,04c5305a792e414536175aff9197ef015f94dcef,James Strachan ,2007-05-04 21:26:16,FUNCTION,public,MethodInvocation,createInvocation,"Object pojo, Exchange messageExchange ",70,t,6b9f807a6d78225fd910749c297126c3d6a29a3f,Claus Ibsen ,2009-03-13 14:36:50,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,13cad06e84e92600f4306115a08710da035ec50b,Claus Ibsen ,2009-02-24 16:57:37,FUNCTION,public,MethodInvocation,createInvocation,"Object pojo, Exchange exchange ",106,DESIGN,73,73,// TODO use some other mechanism?
3059678,BeanInfo.java,camel-spring/src/main/java/org/apache/camel/spring/util/BeanInfo.java,04c5305a792e414536175aff9197ef015f94dcef,James Strachan ,2007-05-04 21:26:16,FUNCTION,protected,Expression,createParameterUnmarshalExpressionForAnnotation,"Class clazz, Method method, Class parameterType, Annotation annotation ",170,t,d1f78307b43f6ccb2858073330d13eca06ac71c7,James Strachan ,2007-08-19 06:33:05,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,ffa675504453e7cb3b2d98a41e8616fbb2cdb8f1,James Strachan ,2007-08-18 16:39:25,FUNCTION,protected,Expression,createParameterUnmarshalExpressionForAnnotation,"Class clazz, Method method, Class parameterType, Annotation annotation ",260,DESIGN,183,183,// TODO allow annotations to be used to create expressions?
3059951,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,dbeffa0202470f272e7acd9dbb8a0d3d813b45f8,Claus Ibsen ,2008-05-26 19:26:13,FUNCTION,protected,MethodInfo,introspect,"Class clazz, Method method ",133,t,6b9f807a6d78225fd910749c297126c3d6a29a3f,Claus Ibsen ,2009-03-13 14:36:50,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,13cad06e84e92600f4306115a08710da035ec50b,Claus Ibsen ,2009-02-24 16:57:37,FUNCTION,protected,MethodInfo,createMethodInfo,"Class clazz, Method method ",235,DESIGN,179,179,// TODO allow an annotation to expose the operation name to use
3059985,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,80b2262778bcaa90d1ef639053eb1a6e737805ad,Claus Ibsen ,2008-06-30 08:03:42,FUNCTION,protected,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",214,t,4f2a0b5edaa0a26a66cbf87629986bb8e13f55e5,Jonathan Anstey ,2008-11-21 13:19:05,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,15f865432c82a5d2c2b4c8ba6ebe271dadde3424,Jonathan Anstey ,2008-10-26 01:38:39,FUNCTION,protected,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",301,DESIGN,223,225,// TODO: AOP proxies have additioan methods - consider having a static // method exclude list to skip all known AOP proxy methods // TODO: This class could use some TRACE logging
3060314,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,4f2a0b5edaa0a26a66cbf87629986bb8e13f55e5,Jonathan Anstey ,2008-11-21 13:19:05,FUNCTION,protected,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",302,t,1061de9da622ea5a0b471465080b22580d324dad,Claus Ibsen ,2009-05-18 09:09:21,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,a870434f826e83209ed512cd465e903084d702f2,Claus Ibsen ,2009-03-26 15:40:52,FUNCTION,private,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",309,DESIGN,314,316,// TODO: AOP proxies have additional methods - consider having a static // method exclude list to skip all known AOP proxy methods // TODO: This class could use some TRACE logging
3060432,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,6b9f807a6d78225fd910749c297126c3d6a29a3f,Claus Ibsen ,2009-03-13 14:36:50,FUNCTION,private,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",289,t,624bc4a7d48899bb555b63f1ccc0c77d7c8fb415,Claus Ibsen ,2009-03-13 15:30:22,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,6b9f807a6d78225fd910749c297126c3d6a29a3f,Claus Ibsen ,2009-03-13 14:36:50,FUNCTION,private,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",289,DESIGN,325,325,// TODO refactor below into a separate method
3060539,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,51214cfaa27c774cccd8bd82347cd72509435c98,Claus Ibsen ,2009-03-13 16:46:33,FUNCTION,private,MethodInfo,chooseBestPossibleMethodInfo,"Exchange exchange, Collection < MethodInfo operationList, Object body, List < MethodInfo possibles, List < MethodInfo possiblesWithException ",346,t,1061de9da622ea5a0b471465080b22580d324dad,Claus Ibsen ,2009-05-18 09:09:21,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,a870434f826e83209ed512cd465e903084d702f2,Claus Ibsen ,2009-03-26 15:40:52,FUNCTION,private,MethodInfo,chooseBestPossibleMethodInfo,"Exchange exchange, Collection < MethodInfo operationList, Object body, List < MethodInfo possibles, List < MethodInfo possiblesWithException ",357,DESIGN,360,360,"// TODO: This code is not covered by existing unit test in camel-core, need to be tested"
3060957,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,1061de9da622ea5a0b471465080b22580d324dad,Claus Ibsen ,2009-05-18 09:09:21,FUNCTION,private,MethodInfo,chooseMethodWithMatchingBody,"Exchange exchange, Collection < MethodInfo operationList ",322,t,64a25aa473d3fa391cf2d5616e0adb6c36f0b6d7,Claus Ibsen ,2010-01-29 08:00:32,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,cdce7564d870540891e7a742c89643f4e3080d60,Claus Ibsen ,2010-01-21 07:04:41,"","","","","",0,DESIGN,335,335,// TODO: AOP proxies have additional methods - well known methods should be added to EXCLUDE_METHODS
3061633,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,cf66e15f251b5cf052cea545b5ab20164c93458c,Claus Ibsen ,2009-10-19 06:37:30,FUNCTION,protected,MethodInfo,chooseMethod,"Object pojo, Exchange exchange, String name ",345,f,,,,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,17dc42bcf5e845c4bd6ff0dc3217e148ebdcf76e,Claus Ibsen ,2016-03-22 12:38:13,FUNCTION,protected,MethodInfo,chooseMethod,"Object pojo, Exchange exchange, String name ",545,DESIGN,357,357,// remove all getter/setter as we do not want to consider these methods
3064731,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,0789318c9c58e608af5773501af181b858f138af,Claus Ibsen ,2011-10-15 10:13:26,FUNCTION,protected,void,introspect,Class < ? clazz ,209,t,925169017a1e575e63bb9de8fc258ac4c9c196bc,Claus Ibsen ,2014-12-10 10:56:56,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,69b00a31f7bff003fb530b9ce9fd8d368d61190e,Willem Jiang ,2014-06-06 09:06:43,FUNCTION,private,void,introspect,Class < ? clazz ,292,DESIGN,216,217,// if the class is not public then fallback and use interface methods if possible // this allow Camel to invoke private beans which implements interfaces
3067967,BeanInfo.java,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,9d5c459f6532945b5bde2c40927fb713a98b85d1,Claus Ibsen ,2014-12-10 13:00:55,FUNCTION,private,void,introspect,Class < ? clazz ,294,f,,,,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,17dc42bcf5e845c4bd6ff0dc3217e148ebdcf76e,Claus Ibsen ,2016-03-22 12:38:13,FUNCTION,private,void,introspect,Class < ? clazz ,296,DESIGN,314,314,"// it may have duplicate methods already, even from declared or from interfaces + declared"
