id,name,file_introduced_path,introduced_version_commit_hash,introduced_version_author,introduced_version_date,comment_location,func_specifier,func_return_type,func_name,func_parameter_list,func_line,has_removed_version,removed_version_commit_hash,removed_version_author,removed_version_date,last_found_path,last_found_commit_hash,last_found_author,last_found_date,last_found_comment_location,last_found_func_specifier,last_found_func_return_type,last_found_func_name,last_found_func_parameter_list,last_found_func_line,td_classification,start_line,end_line,comment_text
6956574,TestProjectInput.java,gerrit-acceptance-tests/src/test/java/com/google/gerrit/acceptance/TestProjectInput.java,f893c4f87ced3d1c53e7fbf944240c20cfae9d63,Dave Borowitz ,2015-03-11 10:35:31,"","","","","",0,f,,,,gerrit-acceptance-framework/src/test/java/com/google/gerrit/acceptance/TestProjectInput.java,947b5e53ac75f8085fd9dd5c3bd05dbf284ee288,,,"","","","","",0,DESIGN,35,36,"// These may be null in a ProjectInput, but annotations do not allow null // default values. Thus these defaults should match ProjectConfig."
6972074,MoveChangeIT.java,gerrit-acceptance-tests/src/test/java/com/google/gerrit/acceptance/rest/change/MoveChangeIT.java,791f33909065d5041c4110f17fceb5f8b0ab1c99,Raviteja Sunkara ,2015-11-03 13:24:50,FUNCTION,public,void,moveChange_shortRef,"",48,f,,,,gerrit-acceptance-tests/src/test/java/com/google/gerrit/acceptance/rest/change/MoveChangeIT.java,791f33909065d5041c4110f17fceb5f8b0ab1c99,,,FUNCTION,public,void,moveChange_shortRef,"",48,DESIGN,49,49,// Move change to a different branch using short ref name
6972265,SubmitByCherryPickIT.java,gerrit-acceptance-tests/src/test/java/com/google/gerrit/acceptance/rest/change/SubmitByCherryPickIT.java,8cbf929a206894fe6965629b05bf436a4cd41f22,Dave Borowitz ,2015-02-18 07:39:47,FUNCTION,public,void,submitChangeAfterParentFailsDueToConflict,"",273,t,7063a4b8f0659d8b22bb62a349872e5350fb6a7b,Stefan Beller ,2015-07-10 13:30:21,gerrit-acceptance-tests/src/test/java/com/google/gerrit/acceptance/rest/change/SubmitByCherryPickIT.java,8792bd67d75fcff96acdf0656bf841b532eb75ce,Dave Borowitz ,2015-02-18 07:39:47,FUNCTION,public,void,submitChangeAfterParentFailsDueToConflict,"",266,DESIGN,293,294,"// change4 is a clean merge, so should succeed in the same run where change3 // failed."
6983285,Die.java,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,t,536c0503238be04c8b7962780bc0e47434dab5b7,Shawn O. Pearce ,2009-01-23 11:00:27,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,DESIGN,126,126,// TODO we should have better logging than stderr
6985141,ProjectUtil.java,gerrit-common/src/main/java/com/google/gerrit/common/ProjectUtil.java,65688b6c8f0c4fd3f73a4b0a786bfe4ab138c1b8,David Pursehouse ,2013-02-13 16:51:38,FUNCTION,public static,String,stripGitSuffix,String name ,20,f,,,,gerrit-common/src/main/java/com/google/gerrit/common/ProjectUtil.java,ee7ff53cbb24f31bc2ff3389c02eb7a163b47866,,,FUNCTION,public static,String,stripGitSuffix,String name ,18,DESIGN,24,27,"// Be nice and drop the trailing "".git"" suffix, which we never keep // in our database, but clients might mistakenly provide anyway. // //"
7042708,PublicKeyChecker.java,gerrit-gpg/src/main/java/com/google/gerrit/gpg/PublicKeyChecker.java,8e289571372266874c84f755cfac21919964162c,Dave Borowitz ,2015-07-21 14:35:08,FUNCTION,private,CheckResult,checkWebOfTrust,"PGPPublicKey key, PublicKeyStore store, int depth, Set < Fingerprint seen ",145,t,d0ecdb2395d87bdaf1b113d3ac4d02d17a3e8187,Dave Borowitz ,2015-07-30 14:28:05,gerrit-gpg/src/main/java/com/google/gerrit/gpg/PublicKeyChecker.java,8e289571372266874c84f755cfac21919964162c,Dave Borowitz ,2015-07-21 14:35:08,FUNCTION,private,CheckResult,checkWebOfTrust,"PGPPublicKey key, PublicKeyStore store, int depth, Set < Fingerprint seen ",145,DESIGN,148,148,// Trust checking not configured.
7046356,WebServer.java,gerrit-gwtdebug/src/main/java/com/google/gwt/dev/codeserver/WebServer.java,11c56681b01a39c109a406f78cfcc2c59a8ffdc8,David Ostrovsky ,2014-08-17 15:04:52,FUNCTION,public private,Response,makeCompilerOutputPage,"HttpServletRequest request, HttpServletResponse response, TreeLogger logger, String target ",302,f,,,,gerrit-gwtdebug/src/main/java/com/google/gwt/dev/codeserver/WebServer.java,191783b479213e776a57511b9c584de6a175691a,,,FUNCTION,public private,Response,makeCompilerOutputPage,"HttpServletRequest request, HttpServletResponse response, TreeLogger logger, String target ",301,DESIGN,342,342,// TODO: why do we need this? Looks like Ray added it a long time ago.
7049727,ConfirmationCallback.java,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,t,536c0503238be04c8b7962780bc0e47434dab5b7,Shawn O. Pearce ,2009-01-23 11:00:27,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,DESIGN,126,126,// TODO we should have better logging than stderr
7057174,ErrorDialog.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/ErrorDialog.java,06bfb9030aca528e19457fa00bede4dc2386ff33,Shawn O. Pearce ,2012-11-26 22:11:48,"","","","","",0,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/ErrorDialog.java,2bc3a98f1b5ab0420fb19208607037fbb9acdae9,,,"","","","","",0,DESIGN,126,126,// TODO Remove RemoteJsonException from Gerrit sources.
7057175,ErrorDialog.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/ErrorDialog.java,06bfb9030aca528e19457fa00bede4dc2386ff33,Shawn O. Pearce ,2012-11-26 22:11:48,"","","","","",0,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/ErrorDialog.java,2bc3a98f1b5ab0420fb19208607037fbb9acdae9,,,"","","","","",0,DESIGN,131,131,// TODO Fix callers of ErrorDialog to stop passing random types.
7078413,MySshKeysScreen.java,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,t,536c0503238be04c8b7962780bc0e47434dab5b7,Shawn O. Pearce ,2009-01-23 11:00:27,appjar/src/main/java/com/google/gerrit/git/MergeQueue.java,b5085d63a5707943092c770d8233e5901c5a87d7,Shawn O. Pearce ,2009-01-12 17:20:45,FUNCTION,private static,void,mergeImpl,final Branch . NameKey branch ,122,DESIGN,126,126,// TODO we should have better logging than stderr
7082183,ActionButton.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ActionButton.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,public private,void,send,NativeString msg ,75,t,3d57549a1d25eaa76ceca86913acaaf95928723f,Shawn Pearce ,2013-07-15 12:20:40,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ActionButton.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,public private,void,send,NativeString msg ,75,DESIGN,89,89,// TODO Support better UI on UiCommand results.
7082197,ActionButton.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ActionButton.java,3d57549a1d25eaa76ceca86913acaaf95928723f,Shawn Pearce ,2013-07-15 12:20:40,FUNCTION,public public,void,onClick,"NativeString msg, ClickEvent event ",58,t,92a1fa89f247ceed3ec88a040d15e442a3f67670,Shawn Pearce ,2013-07-16 15:01:40,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ActionButton.java,3d57549a1d25eaa76ceca86913acaaf95928723f,Shawn Pearce ,2013-07-15 12:20:40,FUNCTION,public public,void,onClick,"NativeString msg, ClickEvent event ",58,DESIGN,72,72,// TODO Support better UI on UiAction results.
7086471,CreateChangeAction.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/CreateChangeAction.java,36934dc6effc4d4c72bd5b5f7bbf70de009689c6,David Ostrovsky ,2013-09-08 19:14:58,FUNCTION,static,void,call,"Button b, final String project ",27,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/CreateChangeAction.java,9f910122bb5871ef5bb0c359e46cf088f9a423a2,,,FUNCTION,static,void,call,"final Button b, final String project ",29,DESIGN,28,28,// TODO Replace CreateChangeDialog with a nicer looking display.
7087265,CreateProjectScreen.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/CreateProjectScreen.java,3e5aba87e85b83c8643b228a801f9faa9e54829e,Bruce Zu ,2012-12-20 22:48:01,FUNCTION,public private,void,doCreateProject,VoidResult result ,225,t,798ea128a4c910ab274276f427c1fa5e5827d198,Bruce Zu ,2013-02-18 16:55:43,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/CreateProjectScreen.java,ee720b8ab750d21ca2d219b439ff6f596432008e,Bruce Zu ,2012-12-20 22:48:01,FUNCTION,public private,void,doCreateProject,VoidResult result ,223,DESIGN,242,246,"// Be nice and drop the trailing "".git"" suffix, which we never // keep in our database, but clients might mistakenly provide // anyway. // //"
7090382,ProjectAccessScreen.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/ProjectRightsPanel.java,75afdfdc843b7dfb4c9dc2676e162b21d7df7684,Nico Sallembien ,2010-01-25 09:05:17,FUNCTION,private,void,updateCategorySelection,"",285,t,a78a37cf45ea8228a863099083f5b5e11a5be1d8,Nico Sallembien ,2010-05-04 11:49:12,gerrit-gwtui/src/main/java/com/google/gerrit/client/admin/ProjectRightsPanel.java,c9ce8bfe82daf711755c769a62132821d8ae142a,Nico Sallembien ,2010-01-25 09:05:17,FUNCTION,private,void,updateCategorySelection,"",297,DESIGN,304,304,// TODO Support per-branch READ access.
7099392,ChangeScreen.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen2.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,private,void,renderReviewers,ChangeInfo info ,389,t,36934dc6effc4d4c72bd5b5f7bbf70de009689c6,David Ostrovsky ,2013-09-08 19:14:58,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen2.java,567188171b4fd0496c73240f72ab8d2af8454503,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,private,void,renderReviewers,ChangeInfo info ,641,DESIGN,390,390,// TODO Fix approximation of reviewers and CC list(s).
7099393,ChangeScreen.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen2.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,private,void,renderOwner,ChangeInfo info ,436,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen.java,2c71febfee9c7b2fceda464dc9e5d42bbba987b6,,,FUNCTION,private,void,renderOwner,ChangeInfo info ,1267,DESIGN,437,437,// TODO info card hover
7101121,ChangeScreen.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen.java,ce43e0f7dd885d71153b8a2b574311bf1169d952,Orgad Shaneh ,2014-09-03 22:53:44,FUNCTION,private,CommentInfo,loadComments,"final RevisionInfo rev, CallbackGroup group ",986,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/ChangeScreen.java,2c71febfee9c7b2fceda464dc9e5d42bbba987b6,,,FUNCTION,private,CommentInfo,loadComments,"final RevisionInfo rev, CallbackGroup group ",1000,DESIGN,989,990,// TODO(dborowitz): Could eliminate this call by adding an option to include // inline comments in the change detail.
7103796,CherryPickAction.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/CherryPickAction.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,static,void,call,"Button b, final Change . Id id, final String revision, String project, final String commitMessage ",29,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/CherryPickAction.java,5d683cc593da009fe627ca2db29ce4d0dcf26e8a,,,FUNCTION,static,void,call,"final Button b, final ChangeInfo info, final String revision, String project, final String commitMessage ",32,DESIGN,31,31,// TODO Replace CherryPickDialog with a nicer looking display.
7107073,History.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/History.java,9324e9af125d4fb7df402e22945ae4e917dac0d4,David Pursehouse ,2013-12-16 14:15:20,"","","","","",0,t,0ddfb83db9c7993d8d1b16837d20615a11c0fd6c,Shawn Pearce ,2015-01-15 10:33:22,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/History.java,fc5a2b8ef45579945003517fe6c8d8180963e69b,David Pursehouse ,2013-12-16 14:15:20,"","","","","",0,DESIGN,48,50,"// This basically means 7 days in milliseconds and could be rewritten as // TimeUnit.DAYS.toMillis(7) // in plain Java, but unfortunately it isn't available in GWT"
7112916,RevertAction.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/RevertAction.java,097b95791517008607f2332e6f4c2be621d6bf3e,Shawn Pearce ,2013-07-14 19:39:45,FUNCTION,static,void,call,"Button b, final Change . Id id, final String revision, String project, final String commitSubject ",28,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/change/RevertAction.java,5d683cc593da009fe627ca2db29ce4d0dcf26e8a,,,FUNCTION,static,void,call,"final Button b, final Change . Id id, final String revision, final String commitSubject ",30,DESIGN,30,30,// TODO Replace ActionDialog with a nicer looking display.
7115721,ChangeApi.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/changes/ChangeApi.java,f0713bfe39968e844d49d7a699a895099866b7ba,Brad Larson ,2012-11-14 15:45:17,FUNCTION,public static,void,abandon,"int changeId, String message, AsyncCallback < ChangeInfo callback ",37,t,d12f3e664a69423ca4bc8dfa6a8ec6ba71484eed,Shawn O. Pearce ,2012-11-22 20:40:50,gerrit-gwtui/src/main/java/com/google/gerrit/client/changes/ChangeApi.java,dcd13ce381e47936beb159a4ce20b87269fa7d1a,Brad Larson ,2012-11-14 15:45:17,FUNCTION,public static,void,abandon,"int changeId, String message, AsyncCallback < ChangeInfo callback ",34,DESIGN,32,36,"/**
   * Sends a REST call to abandon a change and notify a callback. TODO: switch
   * to use the new id triplet (project~branch~change) once that data is
   * available to the UI.
   */"
7127318,CommentBox.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentBox.java,faf65a356ce209e08f4a9c5697d55eb6b0839f50,Michael Zhou ,2013-06-10 09:49:53,FUNCTION,private,void,setAuthorNameText,AccountInfo author ,111,t,41d927825396a3d3c7ec6999b1454cfe0801bbaa,Michael Zhou ,2013-06-21 15:50:55,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentBox.java,119a5e3373c2efecd0498cc4823b79737052e353,Michael Zhou ,2013-06-10 09:49:53,FUNCTION,private,void,setAuthorNameText,AccountInfo author ,117,DESIGN,112,112,// TODO: Set avatar's display to none if we get a 404.
7127319,CommentBox.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentBox.java,faf65a356ce209e08f4a9c5697d55eb6b0839f50,Michael Zhou ,2013-06-10 09:49:53,FUNCTION,private,void,setMessageText,String message ,117,t,119a5e3373c2efecd0498cc4823b79737052e353,Michael Zhou ,2013-06-17 12:15:26,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentBox.java,faf65a356ce209e08f4a9c5697d55eb6b0839f50,Michael Zhou ,2013-06-10 09:49:53,FUNCTION,private,void,setMessageText,String message ,117,DESIGN,124,124,// TODO: Change to use setInnerHtml
7127890,CommentManager.java,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentManager.java,04bd5ac86720659bd34f95d20b605cb6c8e7ce67,Shawn Pearce ,2013-12-19 15:36:34,FUNCTION,"",SkippedLine,splitSkips,"int context, List < SkippedLine skips ",163,f,,,,gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CommentManager.java,0ec1e17477a8bb00472837443239eea9a6839133,,,FUNCTION,"",SkippedLine,splitSkips,"int context, List < SkippedLine skips ",242,DESIGN,164,165,"// TODO: This is not optimal, but shouldn't be too costly in most cases. // Maybe rewrite after done keeping track of diff chunk positions."
