id,name,file_introduced_path,introduced_version_commit_hash,introduced_version_author,introduced_version_date,comment_location,func_specifier,func_return_type,func_name,func_parameter_list,func_line,has_removed_version,removed_version_commit_hash,removed_version_author,removed_version_date,last_found_path,last_found_commit_hash,last_found_author,last_found_date,last_found_comment_location,last_found_func_specifier,last_found_func_return_type,last_found_func_name,last_found_func_parameter_list,last_found_func_line,td_classification,start_line,end_line,comment_text
7966651,TestEditLogTailer.java,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/ha/TestEditLogTailer.java,28dbd56de0456c3504ce2d2227a22027c5d46d52,Todd Lipcon ,2011-12-01 21:37:08,FUNCTION,static,void,waitForStandbyToCatchUp,"NameNode active, NameNode standby ",103,t,31c91706f7d17da006ef2d6c541f8dd092fae077,Todd Lipcon ,2011-12-21 04:32:40,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/ha/TestEditLogTailer.java,36d1c49486587c2dbb193e8538b1d4510c462fa6,Todd Lipcon ,2011-12-21 03:03:23,FUNCTION,static,void,waitForStandbyToCatchUp,"NameNode active, NameNode standby ",105,DESIGN,109,109,// TODO: we should really just ask for a log roll here
7967225,AbstractINodeDiffList.java,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/AbstractINodeDiffList.java,24d96cbcdb80a2de4ada7aa70056a481da24fcc5,Suresh Srinivas ,2013-02-02 20:39:01,FUNCTION,final,D,deleteSnapshotDiff,"final Snapshot snapshot, final BlocksMapUpdateInfo collectedBlocks ",63,t,4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3,Tsz-wo Sze ,2013-02-08 02:18:55,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/AbstractINodeDiffList.java,24d96cbcdb80a2de4ada7aa70056a481da24fcc5,Suresh Srinivas ,2013-02-02 20:39:01,FUNCTION,final,D,deleteSnapshotDiff,"final Snapshot snapshot, final BlocksMapUpdateInfo collectedBlocks ",63,DESIGN,74,74,// TODO: add a new testcase for this
7971490,DirectoryWithSnapshotFeature.java,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/INodeDirectoryWithSnapshot.java,00d318378e4b43d36be91b29ae3ef8a879a81e1e,Tsz-wo Sze ,2013-01-15 06:20:22,FUNCTION,"",Integer,modify,"final INode oldinode, final INode newinode ",187,t,a3bf2083867db5d848ea14f145d120f02b820af2,Tsz-wo Sze ,2013-01-26 00:01:51,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/INodeDirectoryWithSnapshot.java,12e8ba804f9454d9bb07099e35ce7ef63c0d4e1e,Tsz-wo Sze ,2013-01-25 03:09:26,FUNCTION,"",Integer,modify,"final INode oldinode, final INode newinode ",201,DESIGN,199,199,//TODO: fix a bug that previous != oldinode.  Set it to oldinode for now
7973067,DirectoryWithSnapshotFeature.java,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/INodeDirectoryWithSnapshot.java,9c6a7bebe23ffb85d7fd95607f3b7bb4fe82dbe4,Tsz-wo Sze ,2013-04-13 02:48:34,FUNCTION,public,Counts,combinePosteriorAndCollectBlocks,"INode inode, final INodeDirectory currentDir, final DirectoryDiff posterior, final BlocksMapUpdateInfo collectedBlocks ",263,t,0fa5cad0b27780c27a284c23101b1099d4886506,Tsz-wo Sze ,2013-04-24 20:31:06,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/INodeDirectoryWithSnapshot.java,3a812e9f3ae66cfa525faceb5af9085a4cc37232,Tsz-wo Sze ,2013-04-24 02:11:18,FUNCTION,public,Counts,combinePosteriorAndCollectBlocks,"INode inode, final INodeDirectory currentDir, final DirectoryDiff posterior, final BlocksMapUpdateInfo collectedBlocks, final List < INode removedINodes ",264,DESIGN,279,285,"// use null as prior here because we are handling a reference // node stored in the created list of a snapshot diff. This  // snapshot diff must be associated with the latest snapshot of // the dst tree before the rename operation. In this scenario, // the prior snapshot should be the one created in the src tree, // and it can be identified by the cleanSubtree since we call // recordModification before the rename."
7977882,WordListAnonymizerUtility.java,hadoop-mapreduce-project/src/tools/org/apache/hadoop/tools/rumen/anonymization/WordListAnonymizerUtility.java,a238f931ea7dce0ca620d1798156c84ff77097ff,Amar Kamat ,2011-12-16 14:20:58,FUNCTION,public static,boolean,isKnownData,"String data, String [] knownWords ",99,f,,,,hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/anonymization/WordListAnonymizerUtility.java,a9808de0d9a73a99c10a3e4290ec20778fed4f24,Robert Joseph Evans ,2012-05-08 13:20:56,FUNCTION,public static,boolean,isKnownData,"String data, String [] knownWords ",99,DESIGN,100,101,// check if the data is known content //TODO [Chunking] Do this for sub-strings of data
7982208,TestConfigurationDeprecation.java,src/test/core/org/apache/hadoop/conf/TestConfigurationDeprecation.java,ae6721a85a233e10af18d8d87983afb0f518277a,Suresh Srinivas ,2009-09-11 00:14:22,FUNCTION,public,void,testWasDeprecatedKeySet,"",313,t,67c006c322c3925b42322f6ced841a54084f582a,Suresh Srinivas ,2010-04-24 00:01:27,src/test/core/org/apache/hadoop/conf/TestConfigurationDeprecation.java,97c38f94f57544cdd24fb581fef10d61c7263654,Hemanth Yamijala ,2010-04-21 19:32:32,FUNCTION,public,void,testWasDeprecatedKeySet,"",256,DESIGN,317,317,"// Used the deprecated key rather than the new, therefore should trigger"
7983446,ContainerType.java,src/java/org/apache/hadoop/classification/tools/package-info.java,980f99bfb7b1c404b6e8346771803e113d16f71d,Thomas White ,2010-04-22 20:48:04,"","","","","",0,t,d737c323a688c987767f88b65d51fb9cdc5059ac,Arun Murthy ,2012-01-17 21:25:08,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-common/src/main/java/org/apache/hadoop/mapreduce/v2/api/package-info.java,8e04fa8b8414b66966499347453adbace256559b,Thomas White ,2011-11-01 04:47:10,"","","","","",0,DESIGN,1,17,"/*
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */"
7985767,package-info.java,src/java/org/apache/hadoop/classification/tools/package-info.java,980f99bfb7b1c404b6e8346771803e113d16f71d,Thomas White ,2010-04-22 20:48:04,"","","","","",0,f,,,,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/server/api/protocolrecords/impl/pb/package-info.java,f3a893b696cdcff89ea4640c9dd21cbde094104d,Arun Murthy ,2013-06-26 05:57:05,"","","","","",0,DESIGN,1,17,"/*
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */"
7985777,TestRollingLevelDBTimelineStore.java,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/apptimeline/TestLeveldbApplicationTimelineStore.java,23b2e43f5d678517e33590d15dec73225b9c5682,Zhijie Shen ,2014-02-08 02:15:46,"","","","","",0,f,,,,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/timeline/TestRollingLevelDBTimelineStore.java,daf3e4ef8bf73cbe4a799d51b4765809cd81089f,Zhijie Shen ,2015-05-07 10:01:51,"","","","","",0,DESIGN,1,17,"/*
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */"
7985835,QueueManager.java,hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/QueueManager.java,1ef64e64c05ae5318cd4cb47d03a0494d742fb7c,Alejandro Abdelnur ,2012-07-13 00:43:01,FUNCTION,public,void,reloadAllocsIfNecessary,"",176,f,,,,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/QueueManager.java,a0b5a0a419dfc07b7ac45c06b11b4c8dc7e79958,Karthik Kambatla ,2015-09-29 07:55:34,FUNCTION,public,void,reloadAllocsIfNecessary,"",248,DESIGN,201,205,"// Throwing the error further out here won't help - the RPC thread // will catch it and report it in a loop. Instead, just log it and // hope somebody will notice from the log. // We log the error only on the first failure so we don't fill up the // JobTracker's log with these messages."
