id,name,file_introduced_path,introduced_version_commit_hash,introduced_version_author,introduced_version_date,comment_location,func_specifier,func_return_type,func_name,func_parameter_list,func_line,has_removed_version,removed_version_commit_hash,removed_version_author,removed_version_date,last_found_path,last_found_commit_hash,last_found_author,last_found_date,last_found_comment_location,last_found_func_specifier,last_found_func_return_type,last_found_func_name,last_found_func_parameter_list,last_found_func_line,td_classification,start_line,end_line,comment_text
1386630,Help.java,src/core/org/apache/jmeter/gui/action/Help.java,1a360aaf2b4d1867656eedf2db5451fe4261b117,Sebastian Bazley ,2003-10-08 01:04:00,FUNCTION,private,void,resetPage,String source ,93,t,4af46c9fe881de08b80db97673372406744a3993,Sebastian Bazley ,2003-10-09 01:01:46,src/core/org/apache/jmeter/gui/action/Help.java,4c67612c5b7135cbe74f880ff1f3866d3d8f9df0,Sebastian Bazley ,2003-10-08 01:04:00,FUNCTION,private,void,resetPage,String source ,99,DESIGN,101,102,"//TODO: still does not recover completely, but is usable // and unlikely to be needed now that HELP_PAGE is shared string"
1386864,KeyStrokes.java,src/core/org/apache/jmeter/gui/action/KeyStrokes.java,73ecd5ee6e4a453b3ddb4e2890df42a0b9175d1d,Sebastian Bazley ,2007-05-30 00:36:59,FUNCTION,public static,boolean,matches,"KeyEvent e, KeyStroke k ",67,f,,,,src/core/org/apache/jmeter/gui/action/KeyStrokes.java,ac3406040591958dde8fb4b6edc1f4ac8c7e9919,,,FUNCTION,public static,boolean,matches,"KeyEvent e, KeyStroke k ",112,DESIGN,68,68,// Hack to get full modifier value
1387335,Load.java,src/core/org/apache/jmeter/gui/action/Load.java,a27335954dc79cede532e08c3e9fa46c75d0e851,Sebastian Bazley ,2003-10-19 22:26:08,FUNCTION,public,void,setUp,"",238,t,f5c75713850b079b982c698a29d7f179c8f6f7d1,Michael Stover ,2004-06-20 00:32:53,src/core/org/apache/jmeter/gui/action/Load.java,3cb05c017ee9a65bb687a51b5c7567de37624382,Sebastian Bazley ,2003-10-19 22:26:08,FUNCTION,public,void,setUp,"",178,DESIGN,240,240,//TODO: not used - why?
1387757,Load.java,src/core/org/apache/jmeter/gui/action/Load.java,80cae6f9ef01604683cc6d602d7a044578e3a398,Sebastian Bazley ,2013-07-09 20:36:35,FUNCTION,public static,boolean,insertLoadedTree,"int id, HashTree tree, boolean merging ",171,f,,,,src/core/org/apache/jmeter/gui/action/Load.java,8196da5785bf1d512ac074359a5c9a10ce916379,,,FUNCTION,public static,boolean,insertLoadedTree,"final int id, final HashTree tree, final boolean merging ",166,DESIGN,181,182,// Why does this not call guiInstance.clearTestPlan() ? // Is there a reason for not clearing everything?
1387773,Load.java,src/core/org/apache/jmeter/gui/action/Load.java,4a519243146ef053fda0c1dabd356504f02cf7f6,Sebastian Bazley ,2013-07-09 21:11:56,FUNCTION,static,void,loadProjectFile,"final ActionEvent e, final File f, final boolean merging ",104,f,,,,src/core/org/apache/jmeter/gui/action/Load.java,8196da5785bf1d512ac074359a5c9a10ce916379,,,FUNCTION,static,void,loadProjectFile,"final ActionEvent e, final File f, final boolean merging, final boolean setDetails ",114,DESIGN,115,116,// TODO should this be done even if not a full test plan? // and what if load fails?
1387776,Load.java,src/core/org/apache/jmeter/gui/action/Load.java,4a519243146ef053fda0c1dabd356504f02cf7f6,Sebastian Bazley ,2013-07-09 21:11:56,FUNCTION,static,void,loadProjectFile,"final ActionEvent e, final File f, final boolean merging ",104,f,,,,src/core/org/apache/jmeter/gui/action/Load.java,8196da5785bf1d512ac074359a5c9a10ce916379,,,FUNCTION,static,void,loadProjectFile,"final ActionEvent e, final File f, final boolean merging, final boolean setDetails ",114,DESIGN,125,125,// TODO should setBaseForScript be called here rather than above?
1388661,BeanShellAssertion.java,src/protocol/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,49c57ff1f2a4a2d2a11109d2070a004737a3f19d,Sebastian Bazley ,2003-10-14 00:02:56,FUNCTION,public,SampleResult,sample,Entry e ,119,t,e4f472f74814af7f17cabbc7b0acacfc20267b1c,Sebastian Bazley ,2003-12-04 01:59:10,src/protocol/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,3d4779a261090dea04e4c0bbdae777b810622bc4,Sebastian Bazley ,2003-10-14 00:02:56,FUNCTION,public,SampleResult,sample,Entry e ,121,DESIGN,138,138,//TODO - set some more variables?
1388715,BeanShellAssertion.java,src/protocol/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,3d4779a261090dea04e4c0bbdae777b810622bc4,Sebastian Bazley ,2003-11-11 14:24:01,FUNCTION,public,SampleResult,sample,Entry e ,121,f,,,,src/components/org/apache/jmeter/assertions/BeanShellAssertion.java,efc720217627ea8399fcc28540743974b6ddd44a,,,FUNCTION,public,AssertionResult,getResult,SampleResult response ,76,DESIGN,181,181,// but we do trap this error to make tests work better
1389893,BSFAssertionBeanInfo.java,src/core/org/apache/jmeter/testbeans/TestBean.java,bbe252af7601cbbd7d7a3466b43cde992fe68659,Jordi Salvat i Alabart ,2004-01-14 23:10:30,FUNCTION,private static,Object,unwrapProperty,"JMeterProperty property, Class type ",205,t,2ff09ca37e330ee3040a4b1fa25be052e97b65f1,Michael Stover ,2004-05-21 21:09:49,src/core/org/apache/jmeter/testbeans/TestBean.java,188ae5683ff9e68a243bfddae83bb324803edce2,Jordi Salvat i Alabart ,2004-01-14 23:10:30,FUNCTION,private static,Object,unwrapProperty,"JMeterProperty property, Class type ",173,DESIGN,207,211,"// TODO: Awful, but there will be time to improve... maybe using // property editors? Or just having each property know its // proper type? Or pre-building a type-to-valuegetter map? // Or maybe just getting rid of all this property mess and storing // the original objects instead?"
1389904,BSFAssertionBeanInfo.java,src/core/org/apache/jmeter/testbeans/TestBean.java,bbe252af7601cbbd7d7a3466b43cde992fe68659,Jordi Salvat i Alabart ,2004-01-14 23:10:30,FUNCTION,public,void,addTestElement,TestElement el ,271,t,2ff09ca37e330ee3040a4b1fa25be052e97b65f1,Michael Stover ,2004-05-21 21:09:49,src/core/org/apache/jmeter/testbeans/TestBean.java,188ae5683ff9e68a243bfddae83bb324803edce2,Jordi Salvat i Alabart ,2004-01-14 23:10:30,FUNCTION,public,void,addTestElement,TestElement el ,187,DESIGN,280,285,"// Note we ignore those for which we have an editor, // in assumption that they are already provided via // the GUI. Not very nice, but it's a solution. // TODO: find a nicer way to specify which TestElement // properties should be in the GUI and which should come // from the tree structure."
