Type,Debt,Introduce Date,Introduce Author,Introduce Comment,Remove Date,Remove Author,Remove Comment,Introduce ID,Remove ID
REQUIREMENT,// TODO: put these nil guards into tree (bigger than I want to do right now),2008-06-12,Thomas Enebo,Tom Bomb! New Interpreter landing,2014-06-09,Thomas E. Enebo,Start removing old interpreter,dbcdcdbac451af5838c377b299289b2a7b94d9e2,7621334c9b4bef55cc1ac326dcc8d13ce8c36a56
REQUIREMENT,// FIXME: Make bodyNode non-null in parser,2008-07-01,Thomas Enebo,JRUBY-2709: Interpreter crashes on a new rubyspecs for rescue (oligatory ruby.mn commit).  Add spec-all-interpreted task,2014-06-09,Thomas E. Enebo,Start removing old interpreter,a5d95662f6f6ea3a6b7c152edbeb92c9bca875e4,7621334c9b4bef55cc1ac326dcc8d13ce8c36a56
DESIGN,"// TODO needed here because currently done on sample completion in JMeterThread, // but that only catches top-level samples.",2011-10-06,Sebastian Bazley,Bug 51981 - Better support for file: protocol in HTTP sampler,2014-12-22,Sebastian Bazley,"Getting empty thread name in xml result for HTTP requests with ""Follow Redirects"" set Bugzilla Id: 57835",ec5d613293ec86ec181f035e29e10e13480195b8,2b2038ae7e7fc78b9f054f7d4282166f2a7249f8
DESIGN,/* SSS FIXME: Do we need to check if l is same as whatever popped? */,2009-06-27,Subramanya Sastry,- Added IR_Loop; implemented loop stack in IR_Scope; translated while and converted break & next to jumps for non-closure cases,2009-10-14,Subramanya Sastry,"- Cleaned up the scope setup some more; Integrated (not fully tested &   debugged) closures into live variable anaysis code; Added instructions   to allocate heap frame, load / store variables from frame (not   integrated yet);",955209fba77336e0f9bd5b31b39a44acd5f4a785,dc0b3a049c641482c1161afe84c91d898aeca413
DESIGN,//stolen from writeManifest,2006-09-26,Peter Reilly,Bugzilla 31520 adding SPI to jar-task This patch from bernd Dutkowski adds a nested element <service> to the <jar> task this creates the SPI files - see doc.,NULL,NULL,NULL,3f73a851981568afb38cdfb17f202fa7820b9eec,NULL
DESIGN,"// not sure whether this is clean, but this method is // declared not to throw exceptions.",2005-11-28,Antoine Levy-Lambert,properly convert URIs back to file paths when non ascii characters are percent-encoded matches with the change in FileUtils.toURI recently done,NULL,NULL,NULL,6a7128309916100dc611f641797b7793ab087a3d,NULL
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DEFECT,// TODO: don't require pop,2008-12-29,Charles Oliver Nutter,"Finally some peephole optz! Propagate an 'expr' flag through compilation to know whether the product of a given subexpression is actually needed. Allows trivial removal of useless code like unused immediates, lvar, dvar, ivar, and gvar lookups. Also will allow optimizing away the array return value from an masgn, which should improve its performance substantially.",2014-09-17,Charles Oliver Nutter,Rip out the guts! Removing many non-9k runtime classes.,9fd65ed7385f45ab078e28e41c58813e3c845601,ed54aab184bed0dc9dbaaf90b357c8f793c33696
DESIGN,// TODO: decompose getJavaPackageModule so we don't parse fullName,2008-02-11,Bill Dortch,"JI: Moved more JI code into Java to improve performance (and partly to offset the cost of supporting lower-case class names).  Would still like to get instantiation code (__jcreate!) logic moved into Java before 1.1, but won't have time before RC2.",NULL,NULL,NULL,e705f6ca4b2f4c06905e883b6b194a9c883ba776,NULL
DESIGN,"// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes) // TODO: not sure we need this at all, since we only expose // public fields. //field.setAccessible(true);",2004-10-11,Thomas Enebo,Temporary hack for non-public interface classes to be accessible (see TODO comment next to hack for more info),2004-10-11,Thomas Enebo,Temporary hack for non-public interface classes to be accessible (see TODO comment next to hack for more info),e40beaae6e6a1503c01e49f17ec4eea41bfc98c7,e40beaae6e6a1503c01e49f17ec4eea41bfc98c7
