Type,Debt,Introduce Date,Introduce Author,Introduce Comment,Remove Date,Remove Author,Remove Comment,Introduce ID,Remove ID
DESIGN,// TODO: we should really just ask for a log roll here,2011-12-01,Todd Lipcon,HDFS-2623. Add test case for hot standby capability. Contributed by Todd Lipcon.,2011-12-21,Todd Lipcon,HDFS-1972. Fencing mechanism for block invalidations and replications. Contributed by Todd Lipcon.,28dbd56de0456c3504ce2d2227a22027c5d46d52,31c91706f7d17da006ef2d6c541f8dd092fae077
DESIGN,// TODO: add a new testcase for this,2013-02-02,Suresh Srinivas,HDFS-4414. Add support for getting snapshot diff from DistributedFileSystem. Contributed by Jing Zhao.,2013-02-08,Tsz-wo Sze,HDFS-4446. Support file snapshots with diff lists.,24d96cbcdb80a2de4ada7aa70056a481da24fcc5,4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3
DESIGN,//TODO: fix a bug that previous != oldinode.  Set it to oldinode for now,2013-01-15,Tsz-wo Sze,HDFS-4397. Fix a bug in INodeDirectoryWithSnapshot.Diff.combinePostDiff(..) that it may put the wrong node into the deleted list.,2013-01-26,Tsz-wo Sze,HDFS-4441. Move INodeDirectoryWithSnapshot.Diff and the related classes to a package.,00d318378e4b43d36be91b29ae3ef8a879a81e1e,a3bf2083867db5d848ea14f145d120f02b820af2
DESIGN,"// use null as prior here because we are handling a reference // node stored in the created list of a snapshot diff. This  // snapshot diff must be associated with the latest snapshot of // the dst tree before the rename operation. In this scenario, // the prior snapshot should be the one created in the src tree, // and it can be identified by the cleanSubtree since we call // recordModification before the rename.",2013-04-13,Tsz-wo Sze,HDFS-4675. Fix rename across snapshottable directories.  Contributed by Jing Zhao,2013-04-24,Tsz-wo Sze,HDFS-4686. Update quota computation for rename and INodeReference.  Contributed by Jing Zhao,9c6a7bebe23ffb85d7fd95607f3b7bb4fe82dbe4,0fa5cad0b27780c27a284c23101b1099d4886506
DESIGN,// check if the data is known content //TODO [Chunking] Do this for sub-strings of data,2011-12-16,Amar Kamat,MAPREDUCE-778. Rumen Anonymizer. (Amar Kamat and Chris Douglas via amarrk),NULL,NULL,NULL,a238f931ea7dce0ca620d1798156c84ff77097ff,NULL
DESIGN,"// Used the deprecated key rather than the new, therefore should trigger",2009-09-11,Suresh Srinivas,HADOOP-6252. Provide a method to determine if a deprecated key is set in config file. Contributed by Jakob Homan.,2010-04-24,Suresh Srinivas,HADOOP-6521. User specified umask using deprecated dfs.umask must override server configured using new dfs.umaskmode for backward compatibility. Contributed by Suresh Srinivas.,ae6721a85a233e10af18d8d87983afb0f518277a,67c006c322c3925b42322f6ced841a54084f582a
DESIGN,"// Throwing the error further out here won't help - the RPC thread // will catch it and report it in a loop. Instead, just log it and // hope somebody will notice from the log. // We log the error only on the first failure so we don't fill up the // JobTracker's log with these messages.",2012-07-13,Alejandro Abdelnur,MAPREDUCE-3451. Port Fair Scheduler to MR2 (pwendell via tucu),NULL,NULL,NULL,1ef64e64c05ae5318cd4cb47d03a0494d742fb7c,NULL
DESIGN,"// Throwing the error further out here won't help - the RPC thread // will catch it and report it in a loop. Instead, just log it and // hope somebody will notice from the log. // We log the error only on the first failure so we don't fill up the // JobTracker's log with these messages.",2016-01-17,Junping Du,YARN-4265. Provide new timeline plugin storage to support fine-grained entity caching. Contributed by Li Lu and Jason Lowe,NULL,NULL,NULL,02f597c5db36ded385413958bdee793ad7eda40e,NULL
DESIGN,// check if the data is known content //TODO [Chunking] Do this for sub-strings of data,2011-12-16,Amar Kamat,MAPREDUCE-778. Rumen Anonymizer. (Amar Kamat and Chris Douglas via amarrk),NULL,NULL,NULL,a238f931ea7dce0ca620d1798156c84ff77097ff,NULL
DESIGN,// Now ascertain that the resources are localised correctly. // TODO: Don't we need clusterStamp in localDir?,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2011-09-13,Arun Murthy,MAPREDUCE-2896. Simplify all apis to in org.apache.hadoop.yarn.api.records.* to be get/set only. Added javadocs to all public records.,dbecbe5dfe50f834fc3b8401709079e9470cc517,6165875dc6bf67d72fc3ce1d96dfc80ba312d4a1
